ID,CNAE,DESCRICAO
1,01.11-3/01,CULTIVO DE ARROZ
2,01.11-3/02,CULTIVO DE MILHO
3,01.11-3/03,CULTIVO DE TRIGO
4,01.11-3/99,CULTIVO DE OUTROS CEREAIS NÃO ESPECIFICADOS ANTERIORMENTE
5,01.12-1/01,CULTIVO DE ALGODÃO HERBÁCEO
6,01.12-1/02,CULTIVO DE JUTA
7,01.12-1/99,CULTIVO DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE
8,01.13-0/00,CULTIVO DE CANA DE AÇÚCAR
9,01.14-8/00,CULTIVO DE FUMO
10,01.15-6/00,CULTIVO DE SOJA
11,01.16-4/01,CULTIVO DE AMENDOIM
12,01.16-4/02,CULTIVO DE GIRASSOL
13,01.16-4/03,CULTIVO DE MAMONA
14,01.16-4/99,CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE
15,01.19-9/01,CULTIVO DE ABACAXI
16,01.19-9/02,CULTIVO DE ALHO
17,01.19-9/03,CULTIVO DE BATATA INGLESA
18,01.19-9/04,CULTIVO DE CEBOLA
19,01.19-9/05,CULTIVO DE FEIJÃO
20,01.19-9/06,CULTIVO DE MANDIOCA
21,01.19-9/07,CULTIVO DE MELÃO
22,01.19-9/08,CULTIVO DE MELANCIA
23,01.19-9/09,CULTIVO DE TOMATE RASTEIRO
24,01.19-9/99,CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE
25,01.21-1/01,"HORTICULTURA, EXCETO MORANGO"
26,01.21-1/02,CULTIVO DE MORANGO
27,01.22-9/00,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS
28,01.31-8/00,CULTIVO DE LARANJA
29,01.32-6/00,CULTIVO DE UVA
30,01.33-4/01,CULTIVO DE AÇAÍ
31,01.33-4/02,CULTIVO DE BANANA
32,01.33-4/03,CULTIVO DE CAJU
33,01.33-4/04,"CULTIVO DE CÍTRICOS, EXCETO LARANJA"
34,01.33-4/05,CULTIVO DE COCO DA BAÍA
35,01.33-4/06,CULTIVO DE GUARANÁ
36,01.33-4/07,CULTIVO DE MAÇÃ
37,01.33-4/08,CULTIVO DE MAMÃO
38,01.33-4/09,CULTIVO DE MARACUJÁ
39,01.33-4/10,CULTIVO DE MANGA
40,01.33-4/11,CULTIVO DE PÊSSEGO
41,01.33-4/99,CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE
42,01.34-2/00,CULTIVO DE CAFÉ
43,01.35-1/00,CULTIVO DE CACAU
44,01.39-3/01,CULTIVO DE CHÁ DA ÍNDIA
45,01.39-3/02,CULTIVO DE ERVA MATE
46,01.39-3/03,CULTIVO DE PIMENTA DO REINO
47,01.39-3/04,"CULTIVO DE PLANTAS PARA CONDIMENTO, EXCETO PIMENTA DO REINO"
48,01.39-3/05,CULTIVO DE DENDÊ
49,01.39-3/06,CULTIVO DE SERINGUEIRA
50,01.39-3/99,CULTIVO DE OUTRAS PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE
51,01.41-5/01,"PRODUÇÃO DE SEMENTES CERTIFICADAS, EXCETO DE FORRAGEIRAS PARA PASTO"
52,01.41-5/02,PRODUÇÃO DE SEMENTES CERTIFICADAS DE FORRAGEIRAS PARA FORMAÇÃO DE PASTO
53,01.42-3/00,"PRODUÇÃO DE MUDAS E OUTRAS FORMAS DE PROPAGAÇÃO VEGETAL, CERTIFICADAS"
54,01.51-2/01,CRIAÇÃO DE BOVINOS PARA CORTE
55,01.51-2/02,CRIAÇÃO DE BOVINOS PARA LEITE
56,01.51-2/03,"CRIAÇÃO DE BOVINOS, EXCETO PARA CORTE E LEITE"
57,01.52-1/01,CRIAÇÃO DE BUFALINOS
58,01.52-1/02,CRIAÇÃO DE EQÜINOS
59,01.52-1/03,CRIAÇÃO DE ASININOS E MUARES
60,01.53-9/01,CRIAÇÃO DE CAPRINOS
61,01.53-9/02,"CRIAÇÃO DE OVINOS, INCLUSIVE PARA PRODUÇÃO DE LÃ"
62,01.54-7/00,CRIAÇÃO DE SUÍNOS
63,01.55-5/01,CRIAÇÃO DE FRANGOS PARA CORTE
64,01.55-5/02,PRODUÇÃO DE PINTOS DE UM DIA
65,01.55-5/03,"CRIAÇÃO DE OUTROS GALINÁCEOS, EXCETO PARA CORTE"
66,01.55-5/04,"CRIAÇÃO DE AVES, EXCETO GALINÁCEOS"
67,01.55-5/05,PRODUÇÃO DE OVOS
68,01.59-8/01,APICULTURA
69,01.59-8/02,CRIAÇÃO DE ANIMAIS DE ESTIMAÇÃO
70,01.59-8/03,CRIAÇÃO DE ESCARGÔ
71,01.59-8/04,CRIAÇÃO DE BICHO DA SEDA
72,01.59-8/99,CRIAÇÃO DE OUTROS ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE
73,01.61-0/01,SERVIÇO DE PULVERIZAÇÃO E CONTROLE DE PRAGAS AGRÍCOLAS
74,01.61-0/02,SERVIÇO DE PODA DE ÁRVORES PARA LAVOURAS
75,01.61-0/03,"SERVIÇO DE PREPARAÇÃO DE TERRENO, CULTIVO E COLHEITA"
76,01.61-0/99,ATIVIDADES DE APOIO À AGRICULTURA NÃO ESPECIFICADAS ANTERIORMENTE
77,01.62-8/01,SERVIÇO DE INSEMINAÇÃO ARTIFICIAL DE ANIMAIS
78,01.62-8/02,SERVIÇO DE TOSQUIAMENTO DE OVINOS
79,01.62-8/03,SERVIÇO DE MANEJO DE ANIMAIS
80,01.62-8/99,ATIVIDADES DE APOIO À PECUÁRIA NÃO ESPECIFICADAS ANTERIORMENTE
81,01.63-6/00,ATIVIDADES DE PÓS COLHEITA
82,01.70-9/00,CAÇA E SERVIÇOS RELACIONADOS
83,02.10-1/01,CULTIVO DE EUCALIPTO
84,02.10-1/02,CULTIVO DE ACÁCIA NEGRA
85,02.10-1/03,CULTIVO DE PINUS
86,02.10-1/04,CULTIVO DE TECA
87,02.10-1/05,"CULTIVO DE ESPÉCIES MADEIREIRAS, EXCETO EUCALIPTO, ACÁCIA NEGRA, PINUS E TECA"
88,02.10-1/06,CULTIVO DE MUDAS EM VIVEIROS FLORESTAIS
89,02.10-1/07,EXTRAÇÃO DE MADEIRA EM FLORESTAS PLANTADAS
